Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CRI,238,Costa Rica,Inflation,Food Consumer Price Inflation,7.6,3.7,1.2,21.7,29.3,16.3,4.9,4.9,10.3,12.7,21.7,36.7,113.6,32.2,8.8,12.3,11.8,14.7,20.2,17.9,18.2,26,23.9,11.1,13.4,18.8,18.57,14.42,14.47,8.91,8.58,10.61,10.16,8.76,14.89,17.8,11.6,15.1,23.89,8.17,4.64,5.6,3.53,3.83,4.27,3.19,-0.81,1.68,1.63,0.8,0.48,2.24,3.2
CUW,354,Curacao,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,1.04,1.71,7.08,3.88,2.73,13.67,9.26,3.09,9.06,11.41,6.26,6.31,6.99,4.03,,,,,,
CYP,423,Cyprus,Inflation,Food Consumer Price Inflation,1.3,4.9,6.7,8.5,20.1,9.2,2.6,,5.7,6.7,14.6,11.5,8.1,4.3,8.4,4.7,2.9,2.9,4.1,4.6,4.7,6.8,7.8,2,1.3,1.3,3.1,5.2,4.1,2.1,5.5,4.1,4.6,5.1,4,1.6,4.8,5.56,7.59,3.69,0.24,4.08,0.82,0.21,-1.46,-0.31,-0.26,-0.29,0.73,0.45,1.22,-0.38,7.77
CZE,935,Czech Republic,Inflation,Food Consumer Price Inflation,0.2,-0.4,-0.2,0.1,0.2,-0.1,1.2,1.4,1.9,1.4,1.4,1.4,9.4,0.6,0.6,2.6,0.4,0.2,-0.3,0.1,11.1,45.2,9.56,16.12,10.1,11.13,7.97,4.39,4.42,-5.53,0.99,5.07,-1.94,-2.18,3.41,-0.25,0.86,4.74,8.11,-3.97,1.47,4.63,6.91,4.91,2.02,-1.1,-0.93,5.18,1.31,2.82,4.54,0.8,15.89
DEU,134,Germany,Inflation,Food Consumer Price Inflation,2.4,3.84,5.71,7.52,4.76,5.26,4.59,4.92,1.42,1.71,4.03,4.81,6.18,2.68,1.45,0.86,0.62,-0.53,0.17,2.27,3,2.72,2.08,0.5,1.63,1,0.6,1.38,1.06,-1.27,-0.71,4.48,0.83,-0.16,-0.31,0.03,2.03,3.81,6.07,-1.3,1.25,2.77,3.38,3.89,1.01,0.6,0.81,2.76,2.28,1.2,2.26,3.16,12.09
DJI,611,Djibouti,Inflation,Food Consumer Price Inflation,2.8,2.8,10.4,6.4,14.7,12.6,14,34.2,26,12.3,6.1,4.9,-6.4,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,0.26,3.12,6.03,1.86,1.73,5.69,6.39,,
DMA,321,Dominica,Inflation,Food Consumer Price Inflation,14.8,2,2.5,13.4,37.7,18,10.7,7.1,5,20.9,37.8,15.7,1.9,-0.5,1.7,0.3,2.2,8.4,3.1,8,-1.8,5.1,8.5,2.1,-1.2,1.7,1.9,3.6,0,0.3,-0.3,1.5,1.5,0.4,2.8,2.5,4.1,5.3,11.7,5.5,5.5,3.74,3.74,1.59,1.09,0.72,0.01,-0.22,2.16,1.88,0.58,,
DNK,128,Denmark,Inflation,Food Consumer Price Inflation,8.5,6.44,9.13,13.4,11.77,11.16,10.81,13.35,8.94,5.41,10.04,11.86,10.16,5.32,8.82,4.17,2.03,0.88,3.62,4.18,0.25,0.66,1.73,-0.3,2.93,3.06,1.66,3.49,2.07,0.67,2.54,3.86,2.18,1.42,-1.02,0.65,2.72,4.46,7.57,-0.09,0.37,3.96,4.29,0.43,-0.87,1.04,0.1,2.81,0.04,1.39,0.64,0.58,11.16
DOM,243,Dominican Republic,Inflation,Food Consumer Price Inflation,5.5,5.1,6,18.4,17.7,17.7,-2.8,9.3,-3,10.9,15.3,0.4,7.9,6.5,21.9,43.5,11.9,20.5,56.7,47.6,49.6,48.8,0.3,3,6.8,14.5,4.5,7.6,6.5,5.4,-0.1,4.39,4.6,27.8,71.18,-2.8,3.27,4.2,15.8,3.26,4.17,9.14,5,4.65,3.91,6.74,2.15,2.31,3.61,3.75,6.35,9.87,11.18
DZA,612,Algeria,Inflation,Food Consumer Price Inflation,5.6,2.7,4,11.2,7.1,11.5,14.4,15.9,19.1,13.5,10.9,18.3,7.4,5.4,7.6,12.4,17,7.6,3.8,9.1,23.8,21.1,25.9,23.7,41.1,28.8,21.7,4.8,6.9,0.9,-2.1,4.4,1.8,4.5,4.9,0.2,4.22,6.36,7.5,8.23,4.24,5.9,12.96,2.98,4.54,3.6,2.62,5.61,1.74,0.64,0.22,10.13,13.72
