Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CYP,423,Cyprus,Inflation,Energy Consumer Price Inflation,-1.6,-0.2,0.4,0.7,32.4,11.8,4.6,,6.6,13.7,37.2,31.2,5.1,5.4,13.7,3.5,-28.1,-10.2,-8.9,5.7,12,13.3,-8.1,2.3,,7.9,2.5,6.4,-3.5,2.5,23,1.9,6.9,12.3,11.3,12.9,8.9,2,13.9,-15.7,19.6,18.1,14.1,-0.4,-3.2,-14.8,-9.5,8.4,7.8,-2,-9.5,14.3,33.21
CZE,935,Czech Republic,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,71.43,27.75,20.76,13.13,10.24,12.38,18.99,30.78,9.16,8.44,9.85,5.98,1.95,3.53,4.18,6.19,3.42,10.28,7.25,1.65,2.8,4.96,1.76,-1.39,1.04,0.6,1.65,2.96,5.06,2.87,1.39,31.57
DEU,134,Germany,Inflation,Energy Consumer Price Inflation,4.3,5.6,4.4,16.4,16.8,10.4,6.9,0.8,2.5,20.9,10.6,16.2,8,-0.9,3.4,3.7,-11.5,-9.3,-2.7,5,4.3,4.6,8.76,8.18,4.04,3.02,2.46,2.58,0.96,1.28,2.79,2.45,0.91,1.51,1.53,2.82,2.94,1.92,3.42,0.42,0.99,3.08,2.23,1.97,0.85,-0.41,0,1.24,1.75,1.32,0.7,10.71,35.93
DJI,611,Djibouti,Inflation,Energy Consumer Price Inflation,1,1,-0.1,3.9,24,8.9,16.9,1.6,11.3,2.5,13.3,27.6,4.4,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,3.77,-2.6,-0.49,-0.46,-0.12,2.02,-1.87,,
DMA,321,Dominica,Inflation,Energy Consumer Price Inflation,8.4,1.6,3.3,7.3,35.3,9.4,5.1,5.1,22.3,23.8,54.7,6.9,4.1,-1.2,-2.6,0.4,0.6,2,2.1,7.6,2.4,5.6,0.4,1.7,,,,,,,,,3.7,11.4,7.6,12.8,6.9,5.4,10,-23.2,-9.73,-0.07,1.03,-2.19,0.7,-3.27,-0.39,1.35,0.47,2.83,-1.72,,
DNK,128,Denmark,Inflation,Energy Consumer Price Inflation,11.4,13.6,0.6,14.3,57.8,6.9,8,9.3,10.2,39.2,42.5,29,13.2,0.3,-0.2,3.5,3.6,6.1,0.1,7.6,3.5,1.7,-1.1,-0.2,-0.4,-0.2,5.8,3.1,3,5,10.4,2.8,2.89,2.47,2.42,3.17,2.9,2.13,4.04,1.95,3.73,3.84,2.6,1.98,1.5,0.05,0.81,1.23,1.18,-0.29,0.26,11.54,42.62
DOM,243,Dominican Republic,Inflation,Energy Consumer Price Inflation,-1,3.7,7,3.5,34.8,4.6,3.5,-0.6,1.3,,,,,,,,,,,,,7.95,14.27,14.12,8.93,17.29,8.52,8.2,4.95,5.5,8.53,6.74,12.96,36.82,25.26,9.79,11.82,3.6,5.44,8.03,10.72,13.79,1.98,2.78,2.94,-4.48,2,5.32,3.9,-2.25,2.2,6.47,11.07
DZA,612,Algeria,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,2.5,31.8,30.4,32.2,7.7,64.9,35.9,27.1,16.8,0.4,6.9,3.7,0,4,5.5,,4.06,2.08,1.1,2.67,1.85,1.62,4.16,2.73,2.83,1.75,5.98,2.8,1.24,1.43,1.39,1.47,2.38
ECU,248,Ecuador,Inflation,Energy Consumer Price Inflation,1.3,7.6,5.2,0,1,1.6,2,5.1,11.2,4.6,7.6,31.9,22.8,29.2,32.2,9.4,16.7,55.7,26.3,26.6,46.4,28,39.7,54.7,11,0.3,1.7,60.5,54.14,58.06,31.33,51.34,46.74,28.7,11.4,3.39,4.8,2.32,4.51,2.16,2.53,2.16,2.56,2.2,3.71,5.53,3.46,2.03,1.43,0.81,0.38,0.02,1.58
EGY,469,"Egypt, Arab Rep.",Inflation,Energy Consumer Price Inflation,-0.3,-1.8,-5,-5,2.1,3.7,5.6,0.4,1.6,1.3,16.3,-4.2,-2.3,5.6,-2.4,21.3,9.4,2.9,9.3,4.8,25.7,50,52.6,20.1,7.5,3.2,1.9,4.2,0,,7.2,0.6,0,0,,,,5.57,6.98,5.09,1.95,3.29,6.4,4.63,3.59,7.43,5.07,9.76,14.4,9.59,4.03,,
ESP,184,Spain,Inflation,Energy Consumer Price Inflation,6.2,7.5,6,7.5,19.8,17.8,18.6,6.9,6.6,13.8,46.2,32.5,10.7,16.1,10.7,4.8,-6.6,-3.9,-0.6,2.5,8.2,7.6,6.7,5.8,4.81,5.64,3.83,3.44,1.47,2.13,4.42,3.38,2.27,2.89,3.5,5.32,6.52,3.66,6.64,1.29,3.53,7.23,5.06,0.91,1.34,-2.1,-4.24,3.93,2.37,-1.24,-3.54,21.24,32.78
EST,939,Estonia,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,72,5928.6,114.5,36.8,27.1,20.1,15.2,11.3,8.35,2.67,9.83,8.22,3.01,4.09,6.98,10.36,14.58,15.81,1.02,2.94,5.86,8.99,8.83,-1.43,-1.46,-1.72,2.15,6.29,1.91,-3.72,18.44,68.17
ETH,644,Ethiopia,Inflation,Energy Consumer Price Inflation,1.7,1.3,5.8,1.1,9.9,14.5,14.3,27,7.4,14.9,-1.5,15.3,3.6,-7,6.7,8.2,7.4,9.7,5.7,15.6,6.3,36,-0.2,-1.9,0.8,6.2,1.51,1.51,1.51,1.51,1.51,1.51,1.51,4.61,7.54,12.76,16.54,13.74,22.05,15.01,18,20.81,16.73,11.47,11.06,8.74,12.35,12.77,17.04,10.95,20.08,15.89,19.34
FIN,172,Finland,Inflation,Energy Consumer Price Inflation,10.6,16.8,4.3,8.9,46.3,13.7,8.8,10.6,6.8,7.5,23.2,19.3,7.6,4.2,1.1,2.2,-8.6,2.9,-1.3,4.3,9.3,2.8,3.5,11.2,-2.1,0.9,8.1,3.4,-2.5,0.2,9.3,-0.1,1.9,10.7,2.8,5.4,6.5,3.8,17.5,-3.1,10.65,6.31,1.72,0.34,1.21,0.82,0.55,1.3,1.55,2.99,0.16,9.62,30.92
FJI,819,Fiji,Inflation,Energy Consumer Price Inflation,3.1,5.2,3.6,0.5,21.4,14.4,10.8,6.7,8.2,8.9,41.2,18.8,4.8,0.7,1,0.7,-9.2,3.7,10.2,-0.1,10.7,11.8,-1.9,3.7,-0.7,0.2,4.7,4.1,3.1,-0.5,4.3,5.6,-2.9,2.7,8.3,14.3,6.6,-0.9,12.2,-5.3,5.2,20.87,1.64,0.75,0.15,-4.47,-5.03,1.99,2.07,-0.19,-1.17,3.01,5.35
